"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"ConsultationWithDPO","Consultation with DPO","Consultation with Data Protection Officer(s)","dpv:Consultation","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"ContractualTerms","ContractualTerms","Contractual terms governing data handling within or with an entity","dpv:LegalAgreement","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"ControllerProcessorAgreement","Controller-Processor Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of personal data between a Data Controller and a Data Processor","dpv:DataProcessingAgreement","sc","","","","","","2022-01-26","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake","https://www.w3.org/2022/01/26-dpvcg-minutes.html","","","","","","","","","","","","",""
"CredentialManagement","Credential Management","Management of credentials and their use in authorisations","dpv:AuthorisationProcedure","sc","","","","","","2022-06-15","","accepted","Georg P Krog","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataProcessingAgreement","Data Processing Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of personal data","dpv:LegalAgreement","sc","","","","For specific role-based data processing agreements, see concepts for Processors and JointDataController agreements.","","2022-01-26","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake","https://www.w3.org/2022/01/26-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataProcessingRecords","Data Processing Records","Records of personal data processing, whether ex-ante or ex-post","dpv:RecordsOfActivities","sc","","","","","","2021-09-08","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataTransferImpactAssessment","Data Transfer Impact Assessment","Impact Assessment for conducting data transfers","dpv:ImpactAssessment","sc","","","","","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"DesignStandard","Design Standard","A set of rules or guidelines outlining criterias for design","dpv:GuidelinesPrinciple","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIA","Data Protection Impact Assessment (DPIA)","A DPIA involves determining the potential and actual impact of processing activities on individuals or groups of individuals","dpv:ImpactAssessment","sc","","","","Top class: Impact Assessment, and DPIA is sub-class","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"GuidelinesPrinciple","GuidelinesPrinciple","Guidelines or Principles regarding processing and operational measures","dpv:OrganisationalMeasure","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"ImpactAssessment","Impact Assessment","Calculating or determining the likelihood of impact of an existing or proposed process, which can involve risks or detriments.","dpv:Assessment","sc","","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"JointDataControllersAgreement","Joint Data Controllers Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of personal data between Controllers within a Joint Controllers relationship","dpv:DataProcessingAgreement","sc","","","","","","2022-01-26","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake","https://www.w3.org/2022/01/26-dpvcg-minutes.html","","","","","","","","","","","","",""
"LegalAgreement","Legal Agreement","A legally binding agreement","dpv:OrganisationalMeasure","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"LegitimateInterestAssessment","Legitimate Interest Assessment","Indicates an assessment regarding the use of legitimate interest as a lawful basis by the data controller","dpv:Assessment","sc","","","","","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"NDA","Non-Disclosure Agreement (NDA)","Non-disclosure Agreements e.g. preserving confidentiality of information","dpv:LegalAgreement","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Notice","Notice","A notice is an artefact for providing information, choices, or controls","dpv:OrganisationalMeasure","sc","","","","","","2021-09-08","","accepted","Paul Ryan, David Hickey, Georg P Krog, Harshvardhan J. Pandit","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"PIA","Privacy Impact Assessment","Carrying out an impact assessment regarding privacy risks ","dpv:ImpactAssessment","sc","","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"Policy","Policy","A guidance document outlining any of: procedures, plans, principles, decisions, intent, or protocols.","dpv:OrganisationalMeasure","sc","","","","","","2021-09-08","","accepted","Paul Ryan, David Hickey, Georg P Krog, Harshvardhan J. Pandit","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"PrivacyByDefault","Privacy by Default","Practices regarding selecting appropriate data protection and privacy measures as the 'default' in an activity or service","dpv:GuidelinesPrinciple","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"PrivacyByDesign","Privacy by Design","Practices regarding incorporating data protection and privacy in the design of information and services","dpv:OrganisationalMeasure","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"PrivacyNotice","Privacy Notice","Represents a notice or document outlining information regarding privacy","dpv:Notice","sc","","","","","","2021-09-08","","accepted","Georg P Krog, Paul Ryan, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"RecordsOfActivities","Records of Activities","Records of activities within some context such as maintainence tasks or governance functions","dpv:OrganisationalMeasure","sc","","","","","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"RegisterOfProcessingActivities","Register of Processing Activities","A ROPA is a document maintained by Data Controllers detailing processing activities carried out under their responsibility","dpv:DataProcessingRecords","sc","","","","Tied to compliance processes and documents, decide how to specify those","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"RegularityOfRecertification","Regularity of Re-certification","Policy regarding repetition or renewal of existing certification(s)","dpv:OrganisationalMeasure","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Safeguard","Safeguard","A safeguard is a precautionary measure for the protection against or mitigation of negative effects","dpv:OrganisationalMeasure","sc","","","","This concept is relevant given the requirement to assert safeguards in cross-border data transfers","","2021-09-22","","accepted","David Hickey, Paul Ryan, Georg P Krog, Harshvardhan J. Pandit","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"SafeguardForDataTransfer","Safeguard for Data Transfer","Represents a safeguard used for data transfer. Can include technical or organisational measures.","dpv:Safeguard","sc","","","","","","2021-09-22","","accepted","David Hickey, Paul Ryan, Georg P Krog, Harshvardhan J. Pandit","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"Seal","Seal","A seal or a mark indicating proof of certification to some certification or standard","dpv:CertificationSeal","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"StaffTraining","Staff Training","Practices and policies regarding training of staff members","dpv:OrganisationalMeasure","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"SubProcessorAgreement","Sub-Processor Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of personal data between a Data Processor and a Data (Sub-)Processor","dpv:DataProcessingAgreement","sc","","","","","","2022-01-26","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake","https://www.w3.org/2022/01/26-dpvcg-minutes.html","","","","","","","","","","","","",""
"ThirdPartyAgreement","Third-Party Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of personal data between a Data Controller or Processor and a Third Party","dpv:DataProcessingAgreement","sc","","","","","","2022-02-09","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","",""
"IdentityManagementMethod","Identity Management Method","","","","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"EducationalTraining","Educational Training","","","","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"ProfessionalTraining","Professional Training","","","","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"CybersecurityTraining","Cybersecurity Training","","","","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"InformationSecurityPolicy","Information Security Policy","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"GovernanceProcedures","Governance Procedures","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"SecurityRoleProcedures","Security Role Procedures","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"ThirdPartySecurityProcedures","Third Party Security Procedures","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"BackgroundChecks","Background Checks","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"SecurityKnowledgeTraining","Security Knowledge Training","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataProtectionTraining","Data Protection Training","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"AssetManagementProcedures","Asset Management Procedures","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"IncidentManagementProcedures","Incident Management Procedures","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"IncidentReportingCommunication","Incident Reporting Communication","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"DisasterRecoveryProcedures","Disaster Recovery Procedures","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"MonitoringPolicies","Monitoring Policies","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"LoggingPolicies","Logging Policies","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"SecurityAssessments","Security Assessments","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"ComplianceMonitoring","Compliance Monitoring","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"CybersecurityAssessments","Cybersecurity Assessments","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"EffectivenessDeterminationProcedures","Effectiveness Determination Procedures","","","","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"TrustedThirdPartyUtilisation","Trusted Third Party Utilisation","","","","","","","","(ENISA Data Pseudonymisation: Advanced Techniques and Use Cases,https://www.enisa.europa.eu/publications/data-pseudonymisation-advanced-techniques-and-use-cases)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"RiskManagementPolicy","Risk Management Policy","A policy or statement of the overall intentions and direction of an organisation related to risk management","","","","","","","(ISO 31073:2022,https://www.iso.org/standard/79637.html)","2022-08-18","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"RiskManagementPlan","Risk Management Plan","A scheme within the risk management framework specifying the approach, the management components, and resources to be applied to the management of risk","","","","","","","(ISO 31073:2022,https://www.iso.org/standard/79637.html)","2022-08-18","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
